,gpa,act,sat1,test_score,ap_count,ap_mean,sat2_count,sat2_mean,urm,first_generation,ec_count,decision,gender_F,gender_M,school_brown,school_columbia,school_cornell,school_dukeres,school_harvard,school_mitres,school_penn,school_princeton,school_stanford,school_uchicago,school_yale,test_type_act,test_type_sat,ethnicity_african,ethnicity_asian,ethnicity_caucasian,ethnicity_hispanic,ethnicity_indian,ethnicity_urm,country_US,country_international
45,3.89,36.0,2380.0,2390,2.0,4.5,3.0,773.333333333,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
46,4.0,34.0,2237.40362087,2250,5.0,4.8,2.0,760.0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
47,3.5,33.0,1910.0,2180,0.0,4.45675812368,0.0,757.780283204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
48,4.0,36.0,2330.0,2390,5.0,4.6,3.0,796.666666667,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
49,4.0,33.3991698374,2380.0,2380,6.0,4.83333333333,2.0,795.0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
50,3.96,33.3991698374,2270.0,2270,5.0,4.8,1.0,800.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
51,3.89,36.0,2237.40362087,2390,2.0,4.0,2.0,650.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
53,3.86143710629,33.0,2237.40362087,2180,2.0,5.0,3.0,790.0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
54,4.0,34.0,2237.40362087,2250,6.0,4.83333333333,3.0,760.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
55,4.0,34.0,2120.0,2250,2.0,5.0,0.0,757.780283204,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
57,4.0,33.3991698374,2210.0,2210,3.0,4.0,4.0,767.5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
60,4.0,30.0,2237.40362087,2000,4.0,4.0,2.0,740.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
61,3.981,32.0,2237.40362087,2120,1.0,4.0,2.0,780.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
64,3.93,33.3991698374,2180.0,2180,5.0,3.0,2.0,740.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
65,4.0,36.0,2237.40362087,2390,4.0,4.75,2.0,800.0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
66,3.92,34.0,2237.40362087,2250,6.0,4.66666666667,2.0,730.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
67,4.0,33.3991698374,2350.0,2350,15.0,4.26666666667,1.0,800.0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
68,4.0,34.0,2237.40362087,2250,9.0,5.0,2.0,780.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
69,4.0,36.0,2237.40362087,2390,4.0,4.25,2.0,735.0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
70,4.0,35.0,2237.40362087,2330,2.0,4.5,2.0,760.0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
71,3.94,33.3991698374,2400.0,2400,1.0,5.0,2.0,790.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
72,4.0,35.0,2016.0,2330,3.0,3.33333333333,3.0,793.333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
73,3.99,32.0,2130.0,2130,0.0,4.45675812368,2.0,770.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
75,4.0,35.0,2237.40362087,2330,4.0,4.75,3.0,696.666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
76,4.0,33.3991698374,2380.0,2380,1.0,5.0,4.0,800.0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
77,3.97,34.0,2237.40362087,2250,1.0,5.0,2.0,800.0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
78,3.86143710629,31.0,2237.40362087,2060,0.0,4.45675812368,0.0,757.780283204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
79,3.98,32.0,2237.40362087,2120,2.0,4.5,2.0,735.0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
80,4.0,35.0,2310.0,2330,3.0,3.33333333333,3.0,783.333333333,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
81,3.97,36.0,2250.0,2390,1.0,5.0,4.0,787.5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
82,3.7,32.0,2150.0,2150,3.0,4.33333333333,3.0,746.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
84,4.0,35.0,2200.0,2330,4.0,3.25,3.0,740.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
