,gpa,act,sat1,test_score,ap_count,ap_mean,sat2_count,sat2_mean,urm,first_generation,ec_count,decision,gender_F,gender_M,school_brown,school_columbia,school_cornell,school_dukeres,school_harvard,school_mitres,school_penn,school_princeton,school_stanford,school_uchicago,school_yale,test_type_act,test_type_sat,ethnicity_african,ethnicity_asian,ethnicity_caucasian,ethnicity_hispanic,ethnicity_indian,ethnicity_urm,country_US,country_international
2689,3.8,35.0,2237.40362087,2330,2.0,4.45675812368,2.0,755.0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2692,4.0,33.3991698374,2330.0,2330,3.0,5.0,3.0,783.333333333,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2693,3.87,35.0,2237.40362087,2330,4.0,4.75,3.0,753.333333333,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2694,3.87,33.3991698374,2400.0,2400,8.0,4.625,3.0,800.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2695,4.0,35.0,2237.40362087,2330,7.0,4.14285714286,4.0,740.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2697,3.86,33.0,2237.40362087,2180,9.0,4.11111111111,0.0,757.780283204,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2699,3.86143710629,35.0,2230.0,2330,2.0,4.5,4.0,770.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2700,3.98,35.0,2237.40362087,2330,4.0,4.25,2.0,740.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2702,3.75,35.0,2237.40362087,2330,2.0,4.5,2.0,800.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2704,4.0,36.0,2237.40362087,2390,3.0,3.33333333333,1.0,780.0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2706,3.91,34.0,2237.40362087,2250,4.0,4.25,2.0,795.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2707,4.0,1.0,2290.0,2290,10.0,4.4,2.0,720.0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2708,3.0,33.3991698374,2240.0,2240,0.0,4.45675812368,2.0,790.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2710,3.5,35.0,2130.0,2330,2.0,4.5,2.0,785.0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2711,4.0,30.0,2237.40362087,2000,5.0,5.0,2.0,705.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2713,4.0,33.0,2237.40362087,2180,8.0,4.45675812368,2.0,740.0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2714,4.0,35.0,2220.0,2330,0.0,4.45675812368,2.0,800.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2715,3.07,35.0,2237.40362087,2330,3.0,5.0,3.0,790.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
