,act,gpa,ap,ib,sat1,sat2,income,rank,gender,ethnicity,decision,state,country,urm,first_generation,editor-in-chief,founder,president,captain,siemens,intel,presidential_scholar,national_merit,ap_scholar,aime,imo,national_achievement
3477,0,3.8,0,0,2300,"[740, 740]",upper-middle,0.05,F,asian,R,pa,US,,,,,,,,,,True,,,,
3478,34,-92.0,"[5, 5, 4, 4]",0,0,"[800, 790, 740]",N/A,0.0,M,asian,A,nj,US,,,,,,,,,,,True,,,
3479,31,3.96,"[4, 5, 5, 4, 5]",0,0,[],lower-middle,0.0274725274725,F,asian,A,ca,US,,,,,,,,,,,,,,
3480,34,3.9,"[5, 5]","[5, 6]",2130,"[730, 740]",middle,0.05,F,caucasian,A,va,US,,,,,True,,,,,,,,,
3481,0,4.0,"[5, 5, 5]",0,2310,"[770, 760, 580]",middle,0.030959752322,F,caucasian,W,al,US,,,,,,,,,True,True,,,,
3482,0,4.0,0,"[7, 7, 7, 7, 6, 7, 2]",2200,"[800, 800]",N/A,0.0,M,asian,A,,US,,,,,,,,,,,,,,
3483,0,3.9,[3],0,2040,0,middle,0.0,M,african,A,,US,True,,,,,,,,,,,,,
3484,36,4.0,"[4, 5, 5, 5, 4, 5, 5]",0,2290,"[800, 780, 700]",middle,0.0,F,asian,A,la,US,,,,,True,,,,,True,True,,,
3485,0,3.33,"[5, 5, 5, 4]",0,2300,"[750, 750, 760]",upper-middle,0.00454545454545,M,indian,R,ny,US,,,,,,,,,,,True,,,
3486,0,3.4,"[5, 4, 5, 5, 5]",0,2060,"[770, 750, 760]",middle,0.0243902439024,M,asian,A,,US,,,,,,,,,,,True,,,
3487,0,0.0,0,0,0,0,N/A,0.0,,,R,,,,,,,,,,,,,,,,
3488,0,3.9,"[5, 5, 5, 5, 5]",[6],2300,"[800, 800]",middle,0.02,M,asian,A,oh,US,,,,,,,,,,True,True,,,
3489,33,3.7405,"[4, 3, 4]",0,0,"[780, 740]",upper-middle,0.0,M,caucasian,D,ny,US,,,,,True,,,,,,,,,
3490,33,3.45,0,0,0,"[800, 710]",N/A,0.0,M,indian,R,,US,,,,,,,,,,,,,,
3491,0,4.0,"[5, 4]",0,2170,"[800, 700, 630]",middle,0.1,M,,A,,international,,,,True,,True,,,,,,,,
3492,0,4.14,0,"[7, 6]",2350,"[790, 780, 720]",lower-middle,0.0,F,caucasian,A,ny,US,,,,,,,,,,,,,,
3493,0,3.9,0,0,0,[],N/A,0.0,F,caucasian,A,ny,US,,,,,,,,,,,,,,
3494,0,4.0,"[4, 4, 3, 3, 5, 5]",0,1810,[720],N/A,0.0062630480167,M,hispanic,D,tx,US,,True,,,True,,,,,,,,,
3495,33,4.0,0,0,1930,"[790, 730]",N/A,0.0,M,caucasian,D,,,,True,,,,,,,,True,,,,
3496,0,3.8,"[5, 5]",0,1960,"[770, 730, 760]",upper-middle,0.0,M,caucasian,A,ny,US,,,,,,,,,,,,,,
3497,29,3.85,0,0,1900,[],N/A,0.0,F,caucasian,D,ny,US,,,,,,,,,,,,,,
3498,0,3.65,0,0,2130,"[800, 800, 750]",N/A,0.005,M,asian,R,,US,,,,,,,,,,,,,,
3499,35,3.66,0,0,2190,"[720, 730, 690, 700]",upper-middle,0.0,M,caucasian,A,ny,US,,,,,,,,,,True,True,,,
3500,0,3.94,0,0,2070,"[790, 740]",lower-middle,0.0,F,,A,,US,,,,,,,,,,,,,,
3501,32,3.65,"[3, 5, 4, 2]",0,1940,[],N/A,0.187335092348,M,caucasian,A,nc,US,True,,,,True,,,,,,,,,
3502,0,3.9,"[5, 5, 3, 5, 5]",0,2240,"[800, 800]",middle,0.00884955752212,M,indian,A,nj,US,,,,,,,,,,,True,,,
3503,0,0.0,"[4, 4]",0,1990,[],upper-middle,0.15,M,caucasian,D,ct,US,,,,,,,,,,,,,,
3504,0,3.9,"[5, 5, 3, 5, 5]",0,2240,"[800, 800]",middle,0.00884955752212,M,indian,A,nj,US,,,,,,,,,,,True,,,
3505,35,0.0,0,0,0,0,N/A,0.0,M,caucasian,A,tn,US,,,,,,,,,,,,,,
3506,34,3.75,0,0,0,0,N/A,0.1,M,,,,,,,,,,,,,,,,,,
3507,0,0.0,0,0,0,"[750, 770]",N/A,0.15,F,asian,A,,US,,,,,True,True,,,,,,,,
